query_id;query_text;full_prompt_no_web;full_prompt_web_search;query_variant;query_topics;query_countries;query_time_collection_years;query_time_display;query_universe;query_analysis_units;abstract_generated_query;abstract_query_generator_model;abstract_source_hash;source_dataset_id;source_title;source_doi;source_portal_url;source_row
48;Can you find datasets about Employment, Vocational education and training, Higher and further education, Social conditions and indicators, and Family life and marriage in North Rhine-Westphalia during the 1980s, matching this research need: Longitudinal follow-up of former high school students about education-to-work transitions, higher education and vocational training paths, career development, family formation, social origin, political attitudes, values, and life satisfaction in West Germany.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Employment, Vocational education and training, Higher and further education, Social conditions and indicators, and Family life and marriage in North Rhine-Westphalia during the 1980s, matching this research need: Longitudinal follow-up of former high school students about education-to-work transitions, higher education and vocational training paths, career development, family formation, social origin, political attitudes, values, and life satisfaction in West Germany.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Employment, Vocational education and training, Higher and further education, Social conditions and indicators, and Family life and marriage in North Rhine-Westphalia during the 1980s, matching this research need: Longitudinal follow-up of former high school students about education-to-work transitions, higher education and vocational training paths, career development, family formation, social origin, political attitudes, values, and life satisfaction in West Germany.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Employment"", ""Vocational education and training"", ""Higher and further education"", ""Social conditions and indicators"", ""Family life and marriage""]";"[""North Rhine-Westphalia""]";"[""1984"", ""1985""]";1980s;;;Longitudinal follow-up of former high school students about education-to-work transitions, higher education and vocational training paths, career development, family formation, social origin, political attitudes, values, and life satisfaction in West Germany.;gpt-5.4;de743e2d7e32e8a5a4c74b3349e77a6c7c78fa5e8e7219d012d70b9a5344c0f5;ZA1441;Education and Life;"[""10.4232/1.1441""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=1441&db=D;52
49;Can you find datasets about parliamentary debate and Croatia in Croatia during the 2000s and 2010s and 2020s, matching this research need: cleaned corpus of Croatian Parliament debates from 2003–2020 with metadata on elected representatives and political parties, covering five full terms and over 500,000 speeches;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about parliamentary debate and Croatia in Croatia during the 2000s and 2010s and 2020s, matching this research need: cleaned corpus of Croatian Parliament debates from 2003–2020 with metadata on elected representatives and political parties, covering five full terms and over 500,000 speeches
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about parliamentary debate and Croatia in Croatia during the 2000s and 2010s and 2020s, matching this research need: cleaned corpus of Croatian Parliament debates from 2003–2020 with metadata on elected representatives and political parties, covering five full terms and over 500,000 speeches
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""parliamentary debate"", ""Croatia""]";"[""Croatia""]";"[""2003"", ""2020""]";2000s and 2010s and 2020s;;;cleaned corpus of Croatian Parliament debates from 2003–2020 with metadata on elected representatives and political parties, covering five full terms and over 500,000 speeches;gpt-5.4;1542461779a1a40ff25adc55f53e3e8581bdc93f7cb16dae5037518c38d01a9e;SDN-10.7802-2388;CROCorp: Corpus of Parliamentary Debates in Croatia;[];https://data.gesis.org/sharing/#!Detail/10.7802/2388;53
50;Can you find datasets about Government, political systems and organisations, Political behaviour and attitudes, and Political ideology in Germany during the 2020s, matching this research need: Representative telephone survey data on German-speaking residents aged 14+ in Germany, February 2024, about the Ukraine war, crisis perceptions, and related public opinion trends.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Government, political systems and organisations, Political behaviour and attitudes, and Political ideology in Germany during the 2020s, matching this research need: Representative telephone survey data on German-speaking residents aged 14+ in Germany, February 2024, about the Ukraine war, crisis perceptions, and related public opinion trends.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Government, political systems and organisations, Political behaviour and attitudes, and Political ideology in Germany during the 2020s, matching this research need: Representative telephone survey data on German-speaking residents aged 14+ in Germany, February 2024, about the Ukraine war, crisis perceptions, and related public opinion trends.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Government, political systems and organisations"", ""Political behaviour and attitudes"", ""Political ideology""]";"[""Germany""]";"[""2024"", ""2024""]";2020s;;;Representative telephone survey data on German-speaking residents aged 14+ in Germany, February 2024, about the Ukraine war, crisis perceptions, and related public opinion trends.;gpt-5.4;0c3f78cc860792a7c21d807b6c61db27ef1e42682b16bc458c77479d017d6f38;ZA8738;Crisis Monitor (Week 8/2024);"[""10.4232/1.14353""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8738&db=D;54
51;Can you find datasets about Higher and further education, Political behaviour and attitudes, and Government, political systems and organisations in Germany during the 1960s, matching this research need: public opinion survey data on attitudes toward student demonstrations, the government response, SDS/APO, possible SDS ban, awareness of protest aims and organizers, and expected youth participation, with demographic and party preference variables;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Higher and further education, Political behaviour and attitudes, and Government, political systems and organisations in Germany during the 1960s, matching this research need: public opinion survey data on attitudes toward student demonstrations, the government response, SDS/APO, possible SDS ban, awareness of protest aims and organizers, and expected youth participation, with demographic and party preference variables
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Higher and further education, Political behaviour and attitudes, and Government, political systems and organisations in Germany during the 1960s, matching this research need: public opinion survey data on attitudes toward student demonstrations, the government response, SDS/APO, possible SDS ban, awareness of protest aims and organizers, and expected youth participation, with demographic and party preference variables
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Higher and further education"", ""Political behaviour and attitudes"", ""Government, political systems and organisations""]";"[""Germany""]";"[""1968"", ""1968""]";1960s;;;public opinion survey data on attitudes toward student demonstrations, the government response, SDS/APO, possible SDS ban, awareness of protest aims and organizers, and expected youth participation, with demographic and party preference variables;gpt-5.4;3f83bb42f8def3ea402d94dec9287e8be52e56c0891d8449a2c51578ed698637;ZA0322;Attitude to Demonstrations and to the SDS;"[""10.4232/1.0322""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0322&db=D;55
52;Can you find datasets about Reproductive health, Specific diseases, disorders and medical conditions, and Family life and marriage in German Democratic Republic (1949-1990) during the 1990s, matching this research need: Survey data on young people’s romantic relationships, sexual attitudes and behavior in the AIDS era, including first intercourse, contraception, homosexuality, sexual violence, pregnancy, family background, parent relationships, and peer integration.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Reproductive health, Specific diseases, disorders and medical conditions, and Family life and marriage in German Democratic Republic (1949-1990) during the 1990s, matching this research need: Survey data on young people’s romantic relationships, sexual attitudes and behavior in the AIDS era, including first intercourse, contraception, homosexuality, sexual violence, pregnancy, family background, parent relationships, and peer integration.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Reproductive health, Specific diseases, disorders and medical conditions, and Family life and marriage in German Democratic Republic (1949-1990) during the 1990s, matching this research need: Survey data on young people’s romantic relationships, sexual attitudes and behavior in the AIDS era, including first intercourse, contraception, homosexuality, sexual violence, pregnancy, family background, parent relationships, and peer integration.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Reproductive health"", ""Specific diseases, disorders and medical conditions"", ""Family life and marriage""]";"[""German Democratic Republic (1949-1990)""]";"[""1990"", ""1990""]";1990s;;;Survey data on young people’s romantic relationships, sexual attitudes and behavior in the AIDS era, including first intercourse, contraception, homosexuality, sexual violence, pregnancy, family background, parent relationships, and peer integration.;gpt-5.4;d2311b35ada63b5df501b96083f9feb6c531a90aedf692e8669291c9656ddc6d;ZA6146;Partners III - Apprentices 1990;"[""10.4232/1.6146""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6146&db=D;56
53;Can you find datasets about Political behaviour and attitudes, SOCIAL STRATIFICATION AND GROUPINGS, Minorities, Equality, inequality and social exclusion, and Cultural and national identity in Germany during the 2010s, matching this research need: German survey data on economic crisis perceptions, authoritarianism, xenophobia, racism, antisemitism, sexism, homophobia, anti-Muslim attitudes, devaluation of minorities, political alienation, nationalism, and social integration, with detailed socioeconomic and migration-background variables.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Political behaviour and attitudes, SOCIAL STRATIFICATION AND GROUPINGS, Minorities, Equality, inequality and social exclusion, and Cultural and national identity in Germany during the 2010s, matching this research need: German survey data on economic crisis perceptions, authoritarianism, xenophobia, racism, antisemitism, sexism, homophobia, anti-Muslim attitudes, devaluation of minorities, political alienation, nationalism, and social integration, with detailed socioeconomic and migration-background variables.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Political behaviour and attitudes, SOCIAL STRATIFICATION AND GROUPINGS, Minorities, Equality, inequality and social exclusion, and Cultural and national identity in Germany during the 2010s, matching this research need: German survey data on economic crisis perceptions, authoritarianism, xenophobia, racism, antisemitism, sexism, homophobia, anti-Muslim attitudes, devaluation of minorities, political alienation, nationalism, and social integration, with detailed socioeconomic and migration-background variables.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Political behaviour and attitudes"", ""SOCIAL STRATIFICATION AND GROUPINGS"", ""Minorities"", ""Equality, inequality and social exclusion"", ""Cultural and national identity""]";"[""Germany""]";"[""2010"", ""2010""]";2010s;;;German survey data on economic crisis perceptions, authoritarianism, xenophobia, racism, antisemitism, sexism, homophobia, anti-Muslim attitudes, devaluation of minorities, political alienation, nationalism, and social integration, with detailed socioeconomic and migration-background variables.;gpt-5.4;470b859e1f8ede1e7ba10a9d75f2347e179c0b75b45fd9731cb2b3bfb0aa7882;ZA5575;Group-oriented animosity against people (GMF-Survey 2010);"[""10.4232/1.11806""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=5575&db=D;58
54;Can you find datasets about Diet and nutrition, General health and well-being, Medication and treatment, and Specific diseases, disorders and medical conditions in German Democratic Republic (1949-1990) during the 1980s and 1990s, matching this research need: Survey data on health education, self-reported health, dental hygiene and examinations, nutrition, information-seeking about illness and prevention, substance risks, sexual health, family health responsibility, school performance, and parental involvement.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Diet and nutrition, General health and well-being, Medication and treatment, and Specific diseases, disorders and medical conditions in German Democratic Republic (1949-1990) during the 1980s and 1990s, matching this research need: Survey data on health education, self-reported health, dental hygiene and examinations, nutrition, information-seeking about illness and prevention, substance risks, sexual health, family health responsibility, school performance, and parental involvement.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Diet and nutrition, General health and well-being, Medication and treatment, and Specific diseases, disorders and medical conditions in German Democratic Republic (1949-1990) during the 1980s and 1990s, matching this research need: Survey data on health education, self-reported health, dental hygiene and examinations, nutrition, information-seeking about illness and prevention, substance risks, sexual health, family health responsibility, school performance, and parental involvement.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Diet and nutrition"", ""General health and well-being"", ""Medication and treatment"", ""Specific diseases, disorders and medical conditions""]";"[""German Democratic Republic (1949-1990)""]";"[""1987"", ""1991""]";1980s and 1990s;;;Survey data on health education, self-reported health, dental hygiene and examinations, nutrition, information-seeking about illness and prevention, substance risks, sexual health, family health responsibility, school performance, and parental involvement.;gpt-5.4;892784fe84b4fdb06a96f44a52dcaef0939f70c1bad7126fddfd8c8c726016b9;ZA6563;Schoolchildren Interval Study Health Education and Maintaining  Health 1987 to 1991 (Waves 1 to 3);"[""10.4232/1.6563""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=6563&db=D;59
55;Can you find datasets about Government, political systems and organisations, International politics and organisations, and Political behaviour and attitudes in Germany during the 2020s, matching this research need: telephone survey data from 2024 on people aged 14+ covering financial situation, life satisfaction, views of federal government policies, and perceptions of European and global political conditions;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Government, political systems and organisations, International politics and organisations, and Political behaviour and attitudes in Germany during the 2020s, matching this research need: telephone survey data from 2024 on people aged 14+ covering financial situation, life satisfaction, views of federal government policies, and perceptions of European and global political conditions
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Government, political systems and organisations, International politics and organisations, and Political behaviour and attitudes in Germany during the 2020s, matching this research need: telephone survey data from 2024 on people aged 14+ covering financial situation, life satisfaction, views of federal government policies, and perceptions of European and global political conditions
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Government, political systems and organisations"", ""International politics and organisations"", ""Political behaviour and attitudes""]";"[""Germany""]";"[""2024"", ""2024""]";2020s;;;telephone survey data from 2024 on people aged 14+ covering financial situation, life satisfaction, views of federal government policies, and perceptions of European and global political conditions;gpt-5.4;b27dd759e177db51292303753eafc026a121cfe2f2d9341bca05ef5dbe33d4fc;ZA8737;Social and Political Attitudes 2024 (Cumulated Data Set);"[""10.4232/1.14533"", ""10.4232/1.14473"", ""10.4232/1.14449"", ""10.4232/1.14352""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=8737&db=D;60
56;Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Survey data on TV viewing participation and program evaluations, including audience reactions to police drama episodes, Saturday evening entertainment, music shows, children’s summer holiday viewing, preferred viewing times, and related demographics.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Survey data on TV viewing participation and program evaluations, including audience reactions to police drama episodes, Saturday evening entertainment, music shows, children’s summer holiday viewing, preferred viewing times, and related demographics.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Survey data on TV viewing participation and program evaluations, including audience reactions to police drama episodes, Saturday evening entertainment, music shows, children’s summer holiday viewing, preferred viewing times, and related demographics.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Media""]";"[""German Democratic Republic (1949-1990)""]";"[""1984"", ""1984""]";1980s;;;Survey data on TV viewing participation and program evaluations, including audience reactions to police drama episodes, Saturday evening entertainment, music shows, children’s summer holiday viewing, preferred viewing times, and related demographics.;gpt-5.4;3843b053bd462e0f8066a88a20e22f386f3f9699ab7326a8b5925c78dead22ac;ZA7131;Sofortresonanzen DDR Fernsehen 30. Woche 1984 (SFR 30/84;"[""10.4232/1.7131""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7131&db=D;61
57;Can you find datasets about Employment, Business/industrial management and organisation, and PSYCHOLOGY in Germany during the 2000s, matching this research need: Data on young entrepreneurs’ business success linking startup history, prior employment, firm performance over the first five years, psychological self-characterization, Big Five traits, motivation, self-efficacy, procrastination, and demographics.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Employment, Business/industrial management and organisation, and PSYCHOLOGY in Germany during the 2000s, matching this research need: Data on young entrepreneurs’ business success linking startup history, prior employment, firm performance over the first five years, psychological self-characterization, Big Five traits, motivation, self-efficacy, procrastination, and demographics.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Employment, Business/industrial management and organisation, and PSYCHOLOGY in Germany during the 2000s, matching this research need: Data on young entrepreneurs’ business success linking startup history, prior employment, firm performance over the first five years, psychological self-characterization, Big Five traits, motivation, self-efficacy, procrastination, and demographics.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Employment"", ""Business/industrial management and organisation"", ""PSYCHOLOGY""]";"[""Germany""]";"[""2002"", ""2003""]";2000s;;;Data on young entrepreneurs’ business success linking startup history, prior employment, firm performance over the first five years, psychological self-characterization, Big Five traits, motivation, self-efficacy, procrastination, and demographics.;gpt-5.4;f3fd86b6b45c86c648d7e8044aed5711f3f7826fb44cd341646b81cfc144fcd1;ZA4659;Personality, Motives, and Human Capital as Explanations for Business Success;"[""10.4232/1.4659""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=4659&db=D;62
58;Can you find datasets about digitalization, telecommuting, workaholism, and job performance in Germany during the 2010s, matching this research need: data on German employees in 2017–2018 examining home office/remote work and workaholism, including frequency of working from home, formal telework agreements, and whether home-office hours can be counted toward working time;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about digitalization, telecommuting, workaholism, and job performance in Germany during the 2010s, matching this research need: data on German employees in 2017–2018 examining home office/remote work and workaholism, including frequency of working from home, formal telework agreements, and whether home-office hours can be counted toward working time
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about digitalization, telecommuting, workaholism, and job performance in Germany during the 2010s, matching this research need: data on German employees in 2017–2018 examining home office/remote work and workaholism, including frequency of working from home, formal telework agreements, and whether home-office hours can be counted toward working time
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""digitalization"", ""telecommuting"", ""workaholism"", ""job performance""]";"[""Germany""]";"[""2017"", ""2018""]";2010s;;;data on German employees in 2017–2018 examining home office/remote work and workaholism, including frequency of working from home, formal telework agreements, and whether home-office hours can be counted toward working time;gpt-5.4;82b8b2c1ae085f46f0143264c40ebcd5f554d21facc8fd9fdf31894e00fd3383;SDN-10.7802-2567;Code/Syntax: Homeoffice und suchthaftes Arbeiten in Deutschland;[];https://data.gesis.org/sharing/#!Detail/10.7802/2567;63
59;Can you find datasets about Leisure, tourism and sport and Youth in Germany during the 1960s, matching this research need: data on youth leisure clubhouses and their effects on adolescents’ leisure activities, friendships, family life, and personal development, including parent and youth surveys with social attitudes, club participation, housing, education, and socioeconomic background;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Leisure, tourism and sport and Youth in Germany during the 1960s, matching this research need: data on youth leisure clubhouses and their effects on adolescents’ leisure activities, friendships, family life, and personal development, including parent and youth surveys with social attitudes, club participation, housing, education, and socioeconomic background
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Leisure, tourism and sport and Youth in Germany during the 1960s, matching this research need: data on youth leisure clubhouses and their effects on adolescents’ leisure activities, friendships, family life, and personal development, including parent and youth surveys with social attitudes, club participation, housing, education, and socioeconomic background
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Leisure, tourism and sport"", ""Youth""]";"[""Germany""]";"[""1966"", ""1966""]";1960s;;;data on youth leisure clubhouses and their effects on adolescents’ leisure activities, friendships, family life, and personal development, including parent and youth surveys with social attitudes, club participation, housing, education, and socioeconomic background;gpt-5.4;8e04005590d026fe4ed02b47ef062e5384b54f1fca95cd072212aec0292fe64d;ZA0527;Young People in Organized Leisure Time;"[""10.4232/1.0527""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=0527&db=D;64
60;Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Survey data on audience participation and television viewing behavior, including recent program exposure and evaluations, perceived informational and entertainment value, interest in economic-social policy programming and rock/pop music, announcer ratings, and respondent demographics.;"SYSTEM: Do not browse the web. Use only your internal knowledge. Only include datasets that match the query. Do not invent links; if unsure, omit the item.

USER: Query: Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Survey data on audience participation and television viewing behavior, including recent program exposure and evaluations, perceived informational and entertainment value, interest in economic-social policy programming and rock/pop music, announcer ratings, and respondent demographics.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";"SYSTEM: Use web search to find relevant datasets. Only include landing pages or DOIs. Do not invent links. Do not call time, date, timestamp, or clock tools.

USER: Query: Can you find datasets about Media in German Democratic Republic (1949-1990) during the 1980s, matching this research need: Survey data on audience participation and television viewing behavior, including recent program exposure and evaluations, perceived informational and entertainment value, interest in economic-social policy programming and rock/pop music, announcer ratings, and respondent demographics.
Respond ONLY as JSON in this exact shape: {""items"":[{""title"":""..."",""url_or_doi"":""..."",""justification"":""...""}]}. Put any DOI, URL, landing page, or link in url_or_doi.";V6_TOPIC_COUNTRY_TIME_ABSTRACT_NATURAL_LANGUAGE;"[""Media""]";"[""German Democratic Republic (1949-1990)""]";"[""1985"", ""1985""]";1980s;;;Survey data on audience participation and television viewing behavior, including recent program exposure and evaluations, perceived informational and entertainment value, interest in economic-social policy programming and rock/pop music, announcer ratings, and respondent demographics.;gpt-5.4;2cc383b88c1af64a8df4e3b1be1f642c685e8d7145b3662db2d20d673883e05c;ZA7204;Sofortresonanzen DDR Fernsehen 51. Woche 1985 (SFR 51/85);"[""10.4232/1.7204""]";https://dbk.gesis.org/dbksearch/SDESC2.asp?no=7204&db=D;65
